127.0.0.1 - - [30/May/2026:14:30:29 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:30 +0530] "GET /School_Management_System/login/login.jsp HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:30 +0530] "GET /School_Management_System/login/login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:30 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:49 +0530] "POST /School_Management_System/Login HTTP/1.1" 200 70
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:49 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:49 +0530] "GET /School_Management_System/admin/dashboard/dashboard.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:49 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:57 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:57 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:30:57 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:45 +0530] "GET /School_Management_System/admin/manage_student/addstudent.jsp HTTP/1.1" 200 15826
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:45 +0530] "GET /School_Management_System/admin/manage_student/addstudent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:45 +0530] "GET /School_Management_System/AddStudent HTTP/1.1" 200 12025
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:52 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.jsp HTTP/1.1" 200 19149
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:52 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:52 +0530] "GET /School_Management_System/AddClasses HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:58 +0530] "GET /School_Management_System/admin/assign_student/assignStudent.jsp HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:58 +0530] "GET /School_Management_System/admin/assign_student/assignStudent.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:58 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:58 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:58 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:59 +0530] "GET /School_Management_System/admin/assign_teacher/assignTeacher.jsp HTTP/1.1" 200 13293
0:0:0:0:0:0:0:1 - - [30/May/2026:14:31:59 +0530] "GET /School_Management_System/admin/assign_teacher/assignTeacher.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:00 +0530] "GET /School_Management_System/AssignTeacher HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:00 +0530] "GET /School_Management_System/AssignTeacher HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:00 +0530] "GET /School_Management_System/AssignTeacher HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:03 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:03 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:05 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:05 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:06 +0530] "GET /School_Management_System/admin/manage_student/addstudent.jsp HTTP/1.1" 200 15826
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:06 +0530] "GET /School_Management_System/AddStudent HTTP/1.1" 200 12025
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:08 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.jsp HTTP/1.1" 200 19149
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:08 +0530] "GET /School_Management_System/AddClasses HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:10 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:10 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:13 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:13 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:15 +0530] "GET /School_Management_System/admin/manage_student/addstudent.jsp HTTP/1.1" 200 15826
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:15 +0530] "GET /School_Management_System/AddStudent HTTP/1.1" 200 12025
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:16 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.jsp HTTP/1.1" 200 19149
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:16 +0530] "GET /School_Management_System/AddClasses HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:18 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:18 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:20 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:20 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:22 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:40 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:40 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:40 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:32:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:33:42 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [30/May/2026:14:33:42 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:33:42 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:34:08 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:34:08 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:34:08 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:05 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:05 +0530] "GET /School_Management_System/admin/dashboard/dashboard.js HTTP/1.1" 200 2263
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:05 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:05 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:05 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:10 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17476
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:10 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:35:10 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:08 +0530] "GET /School_Management_System/admin/assign_student/assignStudent.jsp HTTP/1.1" 200 13106
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:08 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:08 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:08 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:16 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:47 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:47 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:37:50 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:49 +0530] "GET /School_Management_System/admin/manage_teacher/addteacher.jsp HTTP/1.1" 200 17507
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:49 +0530] "GET /School_Management_System/AddTeacher HTTP/1.1" 200 1698
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:52 +0530] "GET /School_Management_System/admin/manage_student/addstudent.jsp HTTP/1.1" 200 15849
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:52 +0530] "GET /School_Management_System/AddStudent HTTP/1.1" 200 12025
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:54 +0530] "GET /School_Management_System/admin/manage_classes/addclasses.jsp HTTP/1.1" 200 19183
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:54 +0530] "GET /School_Management_System/AddClasses HTTP/1.1" 200 875
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:56 +0530] "GET /School_Management_System/admin/assign_student/assignStudent.jsp HTTP/1.1" 200 13140
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:56 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:56 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:56 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:59 +0530] "GET /School_Management_System/admin/assign_teacher/assignTeacher.jsp HTTP/1.1" 200 13327
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:59 +0530] "GET /School_Management_System/AssignTeacher HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:59 +0530] "GET /School_Management_System/AssignTeacher HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [30/May/2026:14:39:59 +0530] "GET /School_Management_System/AssignTeacher HTTP/1.1" 200 1273
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:02 +0530] "GET /School_Management_System/admin/dashboard/dashboard.jsp HTTP/1.1" 200 13267
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:02 +0530] "GET /School_Management_System/AdminDashboard HTTP/1.1" 200 329
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:07 +0530] "GET /School_Management_System/login/login.jsp HTTP/1.1" 200 7972
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "POST /School_Management_System/Login HTTP/1.1" 200 75
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10734
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:19 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:22 +0530] "GET /School_Management_System/teacher/attendance.jsp HTTP/1.1" 200 18300
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:22 +0530] "GET /School_Management_System/teacher/attendance.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:22 +0530] "GET /School_Management_System/AssignStudent HTTP/1.1" 200 3837
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:25 +0530] "GET /School_Management_System/teacher/studentsList.jsp HTTP/1.1" 200 8896
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:25 +0530] "GET /School_Management_System/teacher/studentList.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:25 +0530] "GET /School_Management_System/StudentList HTTP/1.1" 200 7721
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:26 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10734
0:0:0:0:0:0:0:1 - - [30/May/2026:14:40:26 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:24 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:42:29 +0530] "GET /.well-known/appspecific/com.chrome.devtools.json HTTP/1.1" 404 808
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:03 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:06 +0530] "GET /School_Management_System/AssignedClass?teacherId=1 HTTP/1.1" 200 116
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:07 +0530] "GET /School_Management_System/teacher/assignedclass.jsp HTTP/1.1" 200 10760
0:0:0:0:0:0:0:1 - - [30/May/2026:14:43:07 +0530] "GET /School_Management_System/teacher/assignedclass.js HTTP/1.1" 200 1618
